ntdid,year,mode,fares
0054,2011,FB,1100484
0054,2012,FB,1420638
0054,2013,FB,1625208
0054,2014,FB,1764299
0054,2015,FB,1982612
0055,2012,DR,0
0055,2012,MB,0
0055,2013,DR,0
0055,2013,MB,NA
0055,2014,DR,NA
0055,2014,MB,NA
0055,2015,DR,0
0055,2015,MB,0
0056,2012,FB,67437
0057,2012,CB,124863
0057,2012,DR,199155
0057,2012,MB,205677
0057,2013,CB,162135
0057,2013,DR,141501
0057,2013,MB,213357
0057,2014,CB,230444
0057,2014,DR,137895
0057,2014,MB,216093
0057,2015,CB,254256
0057,2015,DR,164559
0057,2015,MB,229362
0058,2012,SR,0
0058,2013,SR,363170
0058,2013,TR,415880
0058,2014,SR,531922
0058,2014,TR,495117
0058,2015,SR,498003
0058,2015,TR,604065
0059,2012,CB,29178
0059,2012,DR,34742
0059,2012,MB,71435
0059,2013,CB,35587
0059,2013,DR,31626
0059,2013,MB,80710
0059,2014,CB,NA
0059,2014,DR,NA
0059,2014,MB,79075
0059,2015,CB,37226
0059,2015,DR,29020
0059,2015,MB,87355
0060,2012,MB,NA
0060,2013,MB,NA
0060,2014,MB,0
0060,2015,MB,0
0061,2012,DR,13753
0061,2012,MB,34085
0061,2013,DR,24764
0061,2013,MB,53178
0061,2014,DR,26874
0061,2014,MB,62658
0061,2015,DR,3e4
0061,2015,MB,56140
0063,2012,DT,7090
0063,2012,MB,6220
0063,2013,DT,7541
0063,2013,MB,7343
0063,2014,DT,7834
0063,2014,MB,6707
0063,2015,DT,NA
0063,2015,MB,NA
0064,2012,DR,15831
0064,2012,MB,209007
0064,2012,VP,32841
0064,2013,DR,25673
0064,2013,MB,219008
0064,2013,VP,36583
0064,2014,DR,NA
0064,2014,MB,NA
0064,2014,VP,NA
0064,2015,DR,NA
0064,2015,MB,NA
0064,2015,VP,NA
0065,2013,CB,39997
0065,2013,DR,33523
0065,2014,CB,NA
0065,2014,DR,NA
0065,2015,CB,58228
0065,2015,DR,158882
0R01,2015,DR,NA
0R01,2015,MB,NA
0R01,2015,VP,NA
0R02,2015,CB,1070592
0R02,2015,DR,622477
0R02,2015,DT,18148
0R02,2015,MB,1199765
0R03,2015,CB,51133
0R03,2015,DR,NA
0R03,2015,MB,NA
0R03,2015,VP,NA
0R04,2015,CB,NA
0R04,2015,DR,NA
