"","GEOID.msa","name","category","change.total_expenses","change.revenue_miles","change.revenue_hours","change.upt","change.fares","change.average_speed","change.avg_fare"
"323",30140,"Lebanon, PA","other",293798,-113155,-5998,-18968,247953,-1.01311331520378,9.27470494623499
"324",30340,"Lewiston-Auburn, ME","bus",195564,31957,4259,209817,121620,-1.38154774645377,0.0752094550690898
"325",30340,"Lewiston-Auburn, ME","other",-1572241,-625723,-43366,-139660,-51324,-3.55010362269884,2.74425946759272
"326",30460,"Lexington-Fayette, KY","bus",4719012,372495,44888,2647,1039396,-1.0563002282585,0.273481310716236
"327",30460,"Lexington-Fayette, KY","other",4295940,640815,48184,75291,128442,-0.0524158262019778,0.0592479013725915
"328",30700,"Lincoln, NE","bus",492294,98195,4577,587185,859441,0.344960138811755,0.19482645108755
"329",30700,"Lincoln, NE","other",1934705,-87758,-2506,-17016,-54384,-2.62836216842082,-0.535958033291974
"330",30780,"Little Rock-North Little Rock-Conway, AR","bus",947290,172668,16992,371676,145964,-0.410763631475369,-0.0589115776044845
"331",30780,"Little Rock-North Little Rock-Conway, AR","other",1759245,102538,3464,18055,65327,1.32282088406387,0.304766740460224
"332",30780,"Little Rock-North Little Rock-Conway, AR","rail",346439,-37475,-8107,-154432,-46524,NA,NA
"333",30860,"Logan, UT-ID","bus",NA,NA,NA,NA,NA,NA,NA
"334",30860,"Logan, UT-ID","other",NA,NA,NA,NA,NA,NA,NA
"335",31020,"Longview, WA","bus",190861,135303,11177,97835,39495,-0.284769249118963,0.0273376784871803
"336",31020,"Longview, WA","other",1136300,27375,2881,10712,7241,-0.0885746084273968,0.0959896630236217
"337",31080,"Los Angeles-Long Beach-Anaheim, CA","bus",232968711,-16358615,-439723,-89623408,75486362,-0.825269831495993,0.253931040809283
"338",31080,"Los Angeles-Long Beach-Anaheim, CA","other",167484103,51985058,1803886,6201997,28026793,5.03034248190498,1.47704547247152
"339",31080,"Los Angeles-Long Beach-Anaheim, CA","rail",28957732,15616361,781235,27984013,37567847,-2.50817240785493,0.196749774966282
"340",31140,"Louisville/Jefferson County, KY-IN","bus",5105126,-699866,-39200,-539556,4737947,-0.346509616828614,0.352280173145986
"341",31140,"Louisville/Jefferson County, KY-IN","other",13932790,-331493,-1756,51565,286419,-1.31503723540746,0.466192604182013
"342",31180,"Lubbock, TX","bus",930995,287616,36843,528896,1620482,-1.82504809005529,0.308979014052233
"343",31180,"Lubbock, TX","other",3725466,121519,2455,14322,-42376,2.28854735350682,-0.999078566568319
"344",31340,"Lynchburg, VA","bus",1910917,23981,23121,1825318,103434,-3.69262046802527,-0.475657520865284
"345",31340,"Lynchburg, VA","other",737091,57892,10540,10729,35734,-7.84044725681464,0.314624688789038
"346",31420,"Macon, GA","bus",533418,307819,7291,-63622,-931453,2.4085168588228,-0.87878976571028
"347",31420,"Macon, GA","other",NA,NA,NA,NA,NA,NA,NA
"348",31540,"Madison, WI","bus",5403899,366857,40255,2323793,5041358,-0.372469794667891,0.244706474922405
"349",31540,"Madison, WI","other",7538937,-21017,-9442,1795,536,1.2174288972436,-0.0055343474863021
"350",31700,"Manchester-Nashua, NH","bus",394753,244305,16460,195833,529214,0.483880545941556,0.41020807010666
"351",31700,"Manchester-Nashua, NH","other",1253770,-87399,-6231,-22083,6780,-0.478549310385047,1.24568187161185
"352",31900,"Mansfield, OH","bus",-3866,55710,1042,-22995,-146598,2.18735229595512,-0.519913748466127
"353",31900,"Mansfield, OH","other",324791,9645,-3749,-19601,-52124,4.4723260072987,-1.37276797471688
"354",32580,"McAllen-Edinburg-Mission, TX","bus",1424573,664430,32865,219171,64599,5.16063643527252,-0.292234493525635
"355",32580,"McAllen-Edinburg-Mission, TX","other",-129110,-34695,1432,23398,-36621,-4.8611950647019,-2.52166646816461
"356",32780,"Medford, OR","bus",375169,84291,5214,-5712,439786,0.192156951338944,0.338247257733679
"357",32780,"Medford, OR","other",1050796,-114715,-2684,-35141,7342,-2.00253309353259,0.877895030225091
"358",32820,"Memphis, TN-MS-AR","bus",4326802,-1222379,-85235,-2654578,-86620,0.294489167291575,0.241799089784639
"359",32820,"Memphis, TN-MS-AR","other",8584912,-129698,-12591,-12664,87380,0.680793538339264,0.468293151397191
"360",32820,"Memphis, TN-MS-AR","rail",415340,-394837,-49804,-959269,-796334,NA,NA
"361",32900,"Merced, CA","bus",1183682,689265,51875,-278312,131254,-2.2195097251516,0.345360512650384
"362",32900,"Merced, CA","other",2201754,-95509,-7439,-65521,353184,0.966896864477935,5.43552599989472
"363",33100,"Miami-Fort Lauderdale-West Palm Beach, FL","bus",65694304,-4427764,-297641,-5828769,44601332,-0.117983039729452,0.383360675382189
"364",33100,"Miami-Fort Lauderdale-West Palm Beach, FL","other",108562819,13998846,846036,1783928,4312172,0.34290229420913,-0.564689695187596
"365",33100,"Miami-Fort Lauderdale-West Palm Beach, FL","rail",3372939,6564798,312001,4675647,7065231,-6.42301810643385,0.0789650220432192
"366",33100,"Miami-Fort Lauderdale-West Palm Beach, FL",NA,3604588,-944234,-97237,-8381116,-392411,NA,NA
"367",33260,"Midland, TX","bus",606266,-41814,-3214,-35337,-228727,0.205505456625611,-0.612489891226924
"368",33260,"Midland, TX","other",473924,116374,11418,14809,-24073,-6.25807330284634,-1.63985013623978
"369",33340,"Milwaukee-Waukesha-West Allis, WI","bus",11585258,-1655256,-75889,-9185922,-9506987,-0.48395469581282,-0.0246189972982764
"370",33340,"Milwaukee-Waukesha-West Allis, WI","other",29368033,-1780516,-124860,-587919,-1550984,0.498776967362678,0.458970759810143
"371",33460,"Minneapolis-St. Paul-Bloomington, MN-WI","bus",43271318,-2611837,-33050,-8798982,1010466,-0.934110069046874,0.1418260137216
"372",33460,"Minneapolis-St. Paul-Bloomington, MN-WI","other",43716129,10288761,411564,645675,3820338,2.90900213428286,0.741528346775338
"373",33460,"Minneapolis-St. Paul-Bloomington, MN-WI","rail",6277090,4106029,359043,14045545,14370522,-3.30008409185139,0.0788521788735553
"374",33540,"Missoula, MT","bus",1200046,209621,23596,772012,578163,-2.39344867794063,0.143140252814324
"375",33540,"Missoula, MT","other",406253,-24899,-3081,-5780,-54373,1.05061842866244,-1.72048630219406
"376",33660,"Mobile, AL","bus",942705,117853,-1591,282499,20815,1.44658427853286,-0.195808994218427
"377",33660,"Mobile, AL","other",2725329,23134,1338,-7395,68309,0.0768301053215819,0.985020242656564
"378",33700,"Modesto, CA","bus",1586727,201979,21427,14494,631274,-0.505722963933829,0.165078289333791
"379",33700,"Modesto, CA","other",1604504,-91323,-5411,4697,105521,-0.502104162568228,0.761022828017068
"380",33740,"Monroe, LA","bus",811454,51602,7327,19768,98291,-1.09431007072386,0.0797569448122756
"381",33740,"Monroe, LA","other",262503,-5966,-763,1863,6764,0.435234362721987,0.359668135680018
"382",33860,"Montgomery, AL","bus",1322685,369,555,-29575,292546,-0.128512242119845,0.364927876564413
"383",33860,"Montgomery, AL","other",1175947,-117919,-4742,-5500,14326,-2.18899642818002,0.768533882170481
"384",34060,"Morgantown, WV","bus",1192685,284703,9158,608453,-174538,2.5709317611142,-0.352372799916014
