"","GEOID.msa","name","year","mode","total_expenses","revenue_miles","revenue_hours","upt","fares","average_speed","avg_fare","farebox_recovery"
"5727","38900","Portland-Vancouver-Hillsboro, OR-WA",2012,"LR",199420030,7744290,529180,42227665,43069976,14.63451,1.019947,0.2159762
"5728","38900","Portland-Vancouver-Hillsboro, OR-WA",2012,"MB",527543596,23577207,1916230,66475991,63710589,12.30395,0.9584,0.1207684
"5729","38900","Portland-Vancouver-Hillsboro, OR-WA",2012,"SR",23736170,209263,36739,3664537,0,5.695936,0,0
"5730","38900","Portland-Vancouver-Hillsboro, OR-WA",2012,"VP",407766,303654,8377,56758,158695,36.24854,2.795994,0.3891815
"5731","38900","Portland-Vancouver-Hillsboro, OR-WA",2012,"YR",12973840,163381,7528,418209,447356,21.70311,1.069695,0.03448139
"5732","38900","Portland-Vancouver-Hillsboro, OR-WA",2013,"CB",10872540,812250,33060,734390,3473078,24.56897,4.729201,0.3194358
"5733","38900","Portland-Vancouver-Hillsboro, OR-WA",2013,"DR",120575309,7974923,562150,1179525,4093280,14.18647,3.470278,0.03394791
"5734","38900","Portland-Vancouver-Hillsboro, OR-WA",2013,"DT",10175292,889024,34508,108150,431486,25.76284,3.989699,0.04240527
"5735","38900","Portland-Vancouver-Hillsboro, OR-WA",2013,"LR",198653352,7717033,528133,39174406,46442818,14.61191,1.18554,0.2337882
"5736","38900","Portland-Vancouver-Hillsboro, OR-WA",2013,"MB",538863112,22664605,1875360,64453295,67956103,12.08547,1.054346,0.1261101
"5737","38900","Portland-Vancouver-Hillsboro, OR-WA",2013,"SR",32325913,310281,51571,3818224,726340,6.016579,0.1902298,0.02246928
"5738","38900","Portland-Vancouver-Hillsboro, OR-WA",2013,"TR",761466,31873,3420,1644621,415880,9.319591,0.2528729,0.546157
"5739","38900","Portland-Vancouver-Hillsboro, OR-WA",2013,"VP",446470,412699,10530,67031,199799,39.19269,2.980695,0.4475082
"5740","38900","Portland-Vancouver-Hillsboro, OR-WA",2013,"YR",14072066,162097,7470,441926,467838,21.69973,1.058634,0.03324586
"5741","38900","Portland-Vancouver-Hillsboro, OR-WA",2014,"CB",12084510,0,0,731059,3517670,NA,4.811746,0.2910892
"5742","38900","Portland-Vancouver-Hillsboro, OR-WA",2014,"DR",86119362,0,0,1180536,5576729,NA,4.723896,0.06475581
"5743","38900","Portland-Vancouver-Hillsboro, OR-WA",2014,"DT",7405274,0,0,109501,610351,NA,5.573931,0.08242112
"5744","38900","Portland-Vancouver-Hillsboro, OR-WA",2014,"LR",216243538,3862163,264477,38194524,46404323,14.60302,1.214947,0.2145929
"5745","38900","Portland-Vancouver-Hillsboro, OR-WA",2014,"MB",542410188,0,0,65436833,69478074,NA,1.061758,0.1280914
"5746","38900","Portland-Vancouver-Hillsboro, OR-WA",2014,"SR",42954926,350284,56803,4441261,1063844,6.166646,0.2395365,0.02476652
"5747","38900","Portland-Vancouver-Hillsboro, OR-WA",2014,"TR",4521046,0,0,1741679,495117,NA,0.2842757,0.1095138
"5748","38900","Portland-Vancouver-Hillsboro, OR-WA",2014,"VP",552142,0,0,68420,221424,NA,3.236247,0.4010273
"5749","38900","Portland-Vancouver-Hillsboro, OR-WA",2014,"YR",13626588,118836,5457,512390,554133,21.7768,1.081467,0.04066557
"5750","38900","Portland-Vancouver-Hillsboro, OR-WA",2015,"CR",3165285,0,0,0,0,NA,NA,0
"5751","38900","Portland-Vancouver-Hillsboro, OR-WA",2015,"DR",81180341,7749255,573450,1190067,7137104,13.51339,5.997229,0.08791665
"5752","38900","Portland-Vancouver-Hillsboro, OR-WA",2015,"LR",96777187,7836651,535005,37747855,46025815,14.64781,1.219296,0.4755854
"5753","38900","Portland-Vancouver-Hillsboro, OR-WA",2015,"MB",262690589,23745459,2005926,67554477,72841081,11.83765,1.078257,0.2772885
"5754","38900","Portland-Vancouver-Hillsboro, OR-WA",2015,"VP",91524,399061,10783,68880,209957,37.00835,3.048156,2.29401
"5755","38940","Port St. Lucie, FL",2006,"DR",1787735,386876,27061,100227,33200,14.29644,0.3312481,0.01857099
"5756","38940","Port St. Lucie, FL",2006,"MB",900238,201651,20207,61693,32405,9.979265,0.5252622,0.03599604
"5757","38940","Port St. Lucie, FL",2007,"DR",2030825,440070,30778,113573,40018,14.2982,0.3523549,0.01970529
"5758","38940","Port St. Lucie, FL",2007,"MB",897569,223032,21912,116278,55922,10.17853,0.4809336,0.06230385
"5759","38940","Port St. Lucie, FL",2008,"DR",2636380,532661,35040,128352,41375,15.20151,0.3223557,0.01569387
"5760","38940","Port St. Lucie, FL",2008,"MB",978870,223058,16566,104946,63875,13.46481,0.6086464,0.06525381
"5761","38940","Port St. Lucie, FL",2009,"DR",2621465,534518,33247,127875,31714,16.07718,0.2480078,0.01209782
"5762","38940","Port St. Lucie, FL",2009,"MB",1194717,255721,19011,118637,68341,13.45121,0.5760513,0.05720267
"5763","38940","Port St. Lucie, FL",2010,"DR",2345390,488864,32162,106316,29382,15.20005,0.2763648,0.01252755
"5764","38940","Port St. Lucie, FL",2010,"MB",1551171,336477,24869,173250,92984,13.52998,0.5367042,0.05994439
"5765","38940","Port St. Lucie, FL",2011,"DR",2680132,510349,36999,108585,76876,13.79359,0.7079799,0.02868366
"5766","38940","Port St. Lucie, FL",2011,"MB",1618829,363560,25241,168102,145706,14.40355,0.8667714,0.09000704
"5767","38940","Port St. Lucie, FL",2012,"DR",5785376,592399,37831,115890,101038,15.65909,0.871844,0.01746438
"5768","38940","Port St. Lucie, FL",2012,"MB",4063608,437435,32699,219734,190893,13.37763,0.8687458,0.04697623
"5769","38940","Port St. Lucie, FL",2013,"DR",6428244,593143,38066,116710,83395,15.58196,0.7145489,0.01297322
"5770","38940","Port St. Lucie, FL",2013,"MB",4112250,451356,32380,228156,222735,13.93935,0.9762399,0.05416378
"5771","38940","Port St. Lucie, FL",2014,"DR",6372500,0,0,112511,89647,NA,0.7967843,0.01406779
"5772","38940","Port St. Lucie, FL",2014,"MB",4684178,0,0,222239,259670,NA,1.168427,0.05543555
"5773","38940","Port St. Lucie, FL",2015,"DR",2621465,493909,33000,100199,53732,14.96694,0.5362529,0.02049694
"5774","38940","Port St. Lucie, FL",2015,"MB",1194717,312968,22176,187142,224211,14.11291,1.19808,0.1876687
